Country,ISO_A3,Region,IncomeGroup,Year,Emissions
Uganda,UGA,Sub-Saharan Africa,Low income,1999,58912.738
Ukraine,UKR,Europe & Central Asia,Lower middle income,1999,483347.22
Uruguay,URY,Latin America & Caribbean,High income,1999,32266.308
United States,USA,North America,High income,1999,6808137.8
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1999,167640.3747
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1999,226.858599
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,1999,230882.932
British Virgin Islands,VGB,Latin America & Caribbean,High income,1999,NA
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1999,42.622528
Vietnam,VNM,East Asia & Pacific,Lower middle income,1999,175583.298
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1999,453.2303
World,WLD,NA,NA,1999,40891983.4934895
Samoa,WSM,East Asia & Pacific,Lower middle income,1999,305.64793
Kosovo,XKX,Europe & Central Asia,Lower middle income,1999,NA
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,1999,22895.6985
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1999,430853.836
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1999,328963.96
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1999,66724.652
Aruba,ABW,Latin America & Caribbean,High income,2000,NA
Afghanistan,AFG,South Asia,Low income,2000,13530.953
Angola,AGO,Sub-Saharan Africa,Upper middle income,2000,34780.6811
Albania,ALB,Europe & Central Asia,Upper middle income,2000,8389.2767
Andorra,AND,Europe & Central Asia,High income,2000,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,2000,115420.5144
Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,331450.87
Armenia,ARM,Europe & Central Asia,Lower middle income,2000,6867.7102
American Samoa,ASM,East Asia & Pacific,Upper middle income,2000,47.656033
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,398.694259
Australia,AUS,East Asia & Pacific,High income,2000,1081244.41
Austria,AUT,Europe & Central Asia,High income,2000,82686.748
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2000,42646.5596
Burundi,BDI,Sub-Saharan Africa,Low income,2000,3398.8732
Belgium,BEL,Europe & Central Asia,High income,2000,147051.2
Benin,BEN,Sub-Saharan Africa,Low income,2000,40254.008
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2000,46470.1
Bangladesh,BGD,South Asia,Lower middle income,2000,136012.9
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2000,66195.088
Bahrain,BHR,Middle East & North Africa,High income,2000,NA
"Bahamas, The",BHS,Latin America & Caribbean,High income,2000,3185.22211
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2000,22492.9083
Belarus,BLR,Europe & Central Asia,Upper middle income,2000,83387.545
Belize,BLZ,Latin America & Caribbean,Upper middle income,2000,1676.47151
Bermuda,BMU,North America,High income,2000,518.971347
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2000,91400.932
Brazil,BRA,Latin America & Caribbean,Upper middle income,2000,1222630.43
Barbados,BRB,Latin America & Caribbean,High income,2000,1313.94728
Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,9649.3964
Bhutan,BTN,South Asia,Lower middle income,2000,2309.76196
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,39682.4972
Central African Republic,CAF,Sub-Saharan Africa,Low income,2000,499622.058
Canada,CAN,North America,High income,2000,760643
Switzerland,CHE,Europe & Central Asia,High income,2000,53063.2151
Channel Islands,CHI,Europe & Central Asia,High income,2000,NA
Chile,CHL,Latin America & Caribbean,High income,2000,90384.583
China,CHN,East Asia & Pacific,Upper middle income,2000,5082325.6
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2000,29442.742
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2000,163101.039
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2000,861822.71
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2000,28435.401
Colombia,COL,Latin America & Caribbean,Upper middle income,2000,164520.425
Comoros,COM,Sub-Saharan Africa,Low income,2000,365.90311
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2000,333.35502
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2000,9851.2703
Cuba,CUB,Latin America & Caribbean,Upper middle income,2000,46257.54
Curacao,CUW,Latin America & Caribbean,High income,2000,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,2000,NA
Cyprus,CYP,Europe & Central Asia,High income,2000,7952.74819
Czech Republic,CZE,Europe & Central Asia,High income,2000,162021.192
Germany,DEU,Europe & Central Asia,High income,2000,1016295.545
Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,1969.1694
Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,140.86978
Denmark,DNK,Europe & Central Asia,High income,2000,68553.546
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2000,28492.2016
Algeria,DZA,Middle East & North Africa,Upper middle income,2000,133778.197
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,39805.121
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,184459.7407
Eritrea,ERI,Sub-Saharan Africa,Low income,2000,4981.2584
Spain,ESP,Europe & Central Asia,High income,2000,381031.15
Estonia,EST,Europe & Central Asia,High income,2000,17768.8082
Ethiopia,ETH,Sub-Saharan Africa,Low income,2000,183617.668
Finland,FIN,Europe & Central Asia,High income,2000,75117.479
Fiji,FJI,East Asia & Pacific,Upper middle income,2000,1574.6846
France,FRA,Europe & Central Asia,High income,2000,559922.199
Faroe Islands,FRO,Europe & Central Asia,High income,2000,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2000,NA
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2000,32923.10176
United Kingdom,GBR,Europe & Central Asia,High income,2000,673897.408
Georgia,GEO,Europe & Central Asia,Upper middle income,2000,11554.305612
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,107699.825
Gibraltar,GIB,Europe & Central Asia,High income,2000,356.180185
Guinea,GIN,Sub-Saharan Africa,Low income,2000,84360.143
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2000,2864.9869
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2000,6791.4424
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2000,4048.32908
Greece,GRC,Europe & Central Asia,High income,2000,115225.458
Grenada,GRD,Latin America & Caribbean,Upper middle income,2000,474.9675
Greenland,GRL,Europe & Central Asia,High income,2000,NA
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2000,70005.686
Guam,GUM,East Asia & Pacific,High income,2000,69.55195
Guyana,GUY,Latin America & Caribbean,Upper middle income,2000,4405.2298
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2000,45292.8777
Honduras,HND,Latin America & Caribbean,Lower middle income,2000,21929.621
Croatia,HRV,Europe & Central Asia,High income,2000,27312.045
Haiti,HTI,Latin America & Caribbean,Low income,2000,7179.0971
Hungary,HUN,Europe & Central Asia,High income,2000,75482.05879
Indonesia,IDN,East Asia & Pacific,Lower middle income,2000,622464.65
Isle of Man,IMN,Europe & Central Asia,High income,2000,NA
India,IND,South Asia,Lower middle income,2000,1885189
Ireland,IRL,Europe & Central Asia,High income,2000,68143.29
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2000,448089.454
Iraq,IRQ,Middle East & North Africa,Upper middle income,2000,124402.47
Iceland,ISL,Europe & Central Asia,High income,2000,4122.3355
Israel,ISR,Middle East & North Africa,High income,2000,65619.3898423
Italy,ITA,Europe & Central Asia,High income,2000,547349.86
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2000,12364.4322
Jordan,JOR,Middle East & North Africa,Upper middle income,2000,17799.0188
Japan,JPN,East Asia & Pacific,High income,2000,1406194.588
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2000,207395.42
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,46237.25
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2000,9973.9558
Cambodia,KHM,East Asia & Pacific,Lower middle income,2000,42118.313
Kiribati,KIR,East Asia & Pacific,Lower middle income,2000,42.698831
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2000,NA
"Korea, Rep.",KOR,East Asia & Pacific,High income,2000,512819.936
Kuwait,KWT,Middle East & North Africa,High income,2000,65239.5715
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2000,24667.954
Lebanon,LBN,Middle East & North Africa,Upper middle income,2000,16825.6618
Liberia,LBR,Sub-Saharan Africa,Low income,2000,2076.31708
Libya,LBY,Middle East & North Africa,Upper middle income,2000,63666.8898
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2000,404.93516
Liechtenstein,LIE,Europe & Central Asia,High income,2000,NA
Sri Lanka,LKA,South Asia,Lower middle income,2000,23282.5721
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2000,3230.5765
Lithuania,LTU,Europe & Central Asia,High income,2000,21257.1305
Luxembourg,LUX,Europe & Central Asia,High income,2000,10268.3634
Latvia,LVA,Europe & Central Asia,High income,2000,11507.8095
"Macao SAR, China",MAC,East Asia & Pacific,High income,2000,NA
St. Martin (French part),MAF,Latin America & Caribbean,High income,2000,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,2000,50974.378
Monaco,MCO,Europe & Central Asia,High income,2000,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,2000,10796.1408
Madagascar,MDG,Sub-Saharan Africa,Low income,2000,84187.244
Maldives,MDV,South Asia,Upper middle income,2000,NA
Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,576489.52
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2000,NA
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,2000,NA
Mali,MLI,Sub-Saharan Africa,Low income,2000,70241.634
Malta,MLT,Middle East & North Africa,High income,2000,2553.04695
Myanmar,MMR,East Asia & Pacific,Lower middle income,2000,185137.09
Montenegro,MNE,Europe & Central Asia,Upper middle income,2000,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,2000,51756.455
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2000,8.46553305
Mozambique,MOZ,Sub-Saharan Africa,Low income,2000,215278.008
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2000,11950.5596
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2000,NA
Malawi,MWI,Sub-Saharan Africa,Low income,2000,15450.3876
Malaysia,MYS,East Asia & Pacific,Upper middle income,2000,171393.521
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2000,33985.47
New Caledonia,NCL,East Asia & Pacific,High income,2000,NA
Niger,NER,Sub-Saharan Africa,Low income,2000,11124.281
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,314978.544
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2000,14043.287
Netherlands,NLD,Europe & Central Asia,High income,2000,220319.9
Norway,NOR,Europe & Central Asia,High income,2000,71217.9
Nepal,NPL,South Asia,Low income,2000,31234.017
Nauru,NRU,East Asia & Pacific,High income,2000,NA
New Zealand,NZL,East Asia & Pacific,High income,2000,74422.829
Oman,OMN,Middle East & North Africa,High income,2000,35439.108
Pakistan,PAK,South Asia,Lower middle income,2000,247348.795
Panama,PAN,Latin America & Caribbean,Upper middle income,2000,9158.7515
Peru,PER,Latin America & Caribbean,Upper middle income,2000,66574.044
Philippines,PHL,East Asia & Pacific,Lower middle income,2000,150078.87
Palau,PLW,East Asia & Pacific,Upper middle income,2000,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2000,8257.4614
Poland,POL,Europe & Central Asia,High income,2000,392642.0366
Puerto Rico,PRI,Latin America & Caribbean,High income,2000,2963.27411
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,2000,97813.668
Portugal,PRT,Europe & Central Asia,High income,2000,88594.191
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2000,39439.471
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2000,NA
French Polynesia,PYF,East Asia & Pacific,High income,2000,610.09538
Qatar,QAT,Middle East & North Africa,High income,2000,44439.7
Romania,ROU,Europe & Central Asia,Upper middle income,2000,132627.536
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2000,2771222
Rwanda,RWA,Sub-Saharan Africa,Low income,2000,4900.3316
Saudi Arabia,SAU,Middle East & North Africa,High income,2000,310713.5
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2000,529253.88
Senegal,SEN,Sub-Saharan Africa,Low income,2000,48632.878
Singapore,SGP,East Asia & Pacific,High income,2000,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2000,4086.0635
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2000,14763.8481
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2000,10344.8258
San Marino,SMR,Europe & Central Asia,High income,2000,NA
Somalia,SOM,Sub-Saharan Africa,Low income,2000,20491.617
Serbia,SRB,Europe & Central Asia,Upper middle income,2000,NA
South Sudan,SSD,Sub-Saharan Africa,Low income,2000,NA
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2000,206.896072
Suriname,SUR,Latin America & Caribbean,Upper middle income,2000,2495.7631
Slovak Republic,SVK,Europe & Central Asia,High income,2000,50421.399
Slovenia,SVN,Europe & Central Asia,High income,2000,20927.0855
Sweden,SWE,Europe & Central Asia,High income,2000,77926.242
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,2000,2814.7361
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2000,NA
Seychelles,SYC,Sub-Saharan Africa,High income,2000,NA
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2000,68163.2714
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2000,NA
Chad,TCD,Sub-Saharan Africa,Low income,2000,129247.645
Togo,TGO,Sub-Saharan Africa,Low income,2000,22054.7083
Thailand,THA,East Asia & Pacific,Upper middle income,2000,283870.041
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2000,10059.39617585
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2000,63236.1554
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2000,615.325105
Tonga,TON,East Asia & Pacific,Lower middle income,2000,175.118306
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2000,24111.8088
Tunisia,TUN,Middle East & North Africa,Lower middle income,2000,30799.8283
Turkey,TUR,Europe & Central Asia,Upper middle income,2000,316464.841
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2000,4.8968753
Tanzania,TZA,Sub-Saharan Africa,Low income,2000,215939.362
Uganda,UGA,Sub-Saharan Africa,Low income,2000,72771.094
Ukraine,UKR,Europe & Central Asia,Lower middle income,2000,470107.957
Uruguay,URY,Latin America & Caribbean,High income,2000,30375.776
United States,USA,North America,High income,2000,6969123.8
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2000,165976.901
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2000,222.544768
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2000,251579.927
British Virgin Islands,VGB,Latin America & Caribbean,High income,2000,NA
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2000,43.272328
Vietnam,VNM,East Asia & Pacific,Lower middle income,2000,155791.92
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2000,462.64018
World,WLD,NA,NA,2000,40563436.9953996
Samoa,WSM,East Asia & Pacific,Lower middle income,2000,318.53193
Kosovo,XKX,Europe & Central Asia,Lower middle income,2000,NA
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,2000,24225.1802
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2000,420482.753
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2000,290812.3696
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2000,51434.535
Aruba,ABW,Latin America & Caribbean,High income,2001,NA
Afghanistan,AFG,South Asia,Low income,2001,12585.402
Angola,AGO,Sub-Saharan Africa,Upper middle income,2001,34371.8411
Albania,ALB,Europe & Central Asia,Upper middle income,2001,6820.6244
Andorra,AND,Europe & Central Asia,High income,2001,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,2001,115018.8197
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,326483.81
Armenia,ARM,Europe & Central Asia,Lower middle income,2001,6896.4518
American Samoa,ASM,East Asia & Pacific,Upper middle income,2001,50.883203
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,399.265189
Australia,AUS,East Asia & Pacific,High income,2001,1241515.99
Austria,AUT,Europe & Central Asia,High income,2001,85851.6117287
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,41456.1124
Burundi,BDI,Sub-Saharan Africa,Low income,2001,3390.8413
Belgium,BEL,Europe & Central Asia,High income,2001,144534.998
Benin,BEN,Sub-Saharan Africa,Low income,2001,33015.41
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,41227.964
Bangladesh,BGD,South Asia,Lower middle income,2001,142753.528
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,68733.683
Bahrain,BHR,Middle East & North Africa,High income,2001,19051.2816
"Bahamas, The",BHS,Latin America & Caribbean,High income,2001,3151.86905
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,18080.8809
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,80803.9023
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,1013.48396
Bermuda,BMU,North America,High income,2001,510.111383
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,62224.11
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,1277451.88
Barbados,BRB,Latin America & Caribbean,High income,2001,1225.11629
Brunei Darussalam,BRN,East Asia & Pacific,High income,2001,9865.1434
Bhutan,BTN,South Asia,Lower middle income,2001,1613.47346
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,54348.93
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,453849.629
Canada,CAN,North America,High income,2001,718534.46
Switzerland,CHE,Europe & Central Asia,High income,2001,54075.3746
Channel Islands,CHI,Europe & Central Asia,High income,2001,NA
Chile,CHL,Latin America & Caribbean,High income,2001,90862.192
China,CHN,East Asia & Pacific,Upper middle income,2001,5145521.55
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2001,28584.192
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,118945.3
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2001,678319.48
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2001,35332.078
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,153808.679
Comoros,COM,Sub-Saharan Africa,Low income,2001,423.63479
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2001,301.7623
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,10917.3384
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,44507.955
Curacao,CUW,Latin America & Caribbean,High income,2001,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,2001,NA
Cyprus,CYP,Europe & Central Asia,High income,2001,7790.87447
Czech Republic,CZE,Europe & Central Asia,High income,2001,157672.16782
Germany,DEU,Europe & Central Asia,High income,2001,1025983.5
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,2273.90434
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,157.161002
Denmark,DNK,Europe & Central Asia,High income,2001,70080.083
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,28416.2369
Algeria,DZA,Middle East & North Africa,Upper middle income,2001,129334.834
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,41166.86
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2001,187292.4462
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,4725.5075
Spain,ESP,Europe & Central Asia,High income,2001,377629.971
Estonia,EST,Europe & Central Asia,High income,2001,17940.1633
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,144657.84
Finland,FIN,Europe & Central Asia,High income,2001,80288.01944
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,1639.3596
France,FRA,Europe & Central Asia,High income,2001,565204.3298
Faroe Islands,FRO,Europe & Central Asia,High income,2001,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2001,NA
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,13751.4016
United Kingdom,GBR,Europe & Central Asia,High income,2001,683080.0911
Georgia,GEO,Europe & Central Asia,Upper middle income,2001,9788.1363
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,104386.21
Gibraltar,GIB,Europe & Central Asia,High income,2001,362.311355
Guinea,GIN,Sub-Saharan Africa,Low income,2001,80294.726
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2001,3730.6084
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2001,7464.8707
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2001,5277.99739
Greece,GRC,Europe & Central Asia,High income,2001,114019.901
Grenada,GRD,Latin America & Caribbean,Upper middle income,2001,444.687873
Greenland,GRL,Europe & Central Asia,High income,2001,NA
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2001,21772.123
Guam,GUM,East Asia & Pacific,High income,2001,70.8618956
Guyana,GUY,Latin America & Caribbean,Upper middle income,2001,4876.1489
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2001,46489.1249
Honduras,HND,Latin America & Caribbean,Lower middle income,2001,12536.9126
Croatia,HRV,Europe & Central Asia,High income,2001,27165.0499
Haiti,HTI,Latin America & Caribbean,Low income,2001,7498.5119
Hungary,HUN,Europe & Central Asia,High income,2001,75969.172
Indonesia,IDN,East Asia & Pacific,Lower middle income,2001,849945.65
Isle of Man,IMN,Europe & Central Asia,High income,2001,NA
India,IND,South Asia,Lower middle income,2001,1875600.85
Ireland,IRL,Europe & Central Asia,High income,2001,70153.998
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2001,460783.884
Iraq,IRQ,Middle East & North Africa,Upper middle income,2001,132843.676
Iceland,ISL,Europe & Central Asia,High income,2001,3830.9156
Israel,ISR,Middle East & North Africa,High income,2001,65879.0624
Italy,ITA,Europe & Central Asia,High income,2001,543360.171
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2001,12249.8631
Jordan,JOR,Middle East & North Africa,Upper middle income,2001,17657.3513
Japan,JPN,East Asia & Pacific,High income,2001,1387952.208
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2001,223606.92
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,44415.733
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2001,8996.7479
Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,63995.784
Kiribati,KIR,East Asia & Pacific,Lower middle income,2001,43.93295
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2001,NA
"Korea, Rep.",KOR,East Asia & Pacific,High income,2001,522374.159
Kuwait,KWT,Middle East & North Africa,High income,2001,63455.7221
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2001,15958.361
Lebanon,LBN,Middle East & North Africa,Upper middle income,2001,18142.4143
Liberia,LBR,Sub-Saharan Africa,Low income,2001,2163.9067
Libya,LBY,Middle East & North Africa,Upper middle income,2001,62555.0382
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2001,408.25967
Liechtenstein,LIE,Europe & Central Asia,High income,2001,NA
Sri Lanka,LKA,South Asia,Lower middle income,2001,22429.201
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2001,3844.3085
Lithuania,LTU,Europe & Central Asia,High income,2001,21048.71215
Luxembourg,LUX,Europe & Central Asia,High income,2001,10701.1799
Latvia,LVA,Europe & Central Asia,High income,2001,12089.6607
"Macao SAR, China",MAC,East Asia & Pacific,High income,2001,NA
St. Martin (French part),MAF,Latin America & Caribbean,High income,2001,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,2001,53556.2719
Monaco,MCO,Europe & Central Asia,High income,2001,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,2001,11371.9209
Madagascar,MDG,Sub-Saharan Africa,Low income,2001,131802.6
Maldives,MDV,South Asia,Upper middle income,2001,NA
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,547960.58
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2001,NA
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,2001,NA
Mali,MLI,Sub-Saharan Africa,Low income,2001,84085.491
Malta,MLT,Middle East & North Africa,High income,2001,3049.24901
Myanmar,MMR,East Asia & Pacific,Lower middle income,2001,186669.7
Montenegro,MNE,Europe & Central Asia,Upper middle income,2001,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,2001,27501.3
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2001,8.8469706
Mozambique,MOZ,Sub-Saharan Africa,Low income,2001,293796.215
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2001,11586.0578
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2001,NA
Malawi,MWI,Sub-Saharan Africa,Low income,2001,12365.3478
Malaysia,MYS,East Asia & Pacific,Upper middle income,2001,176214.366
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2001,31359.313
New Caledonia,NCL,East Asia & Pacific,High income,2001,NA
Niger,NER,Sub-Saharan Africa,Low income,2001,10982.1695
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2001,319145.794
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2001,14462.642
Netherlands,NLD,Europe & Central Asia,High income,2001,220252.518
Norway,NOR,Europe & Central Asia,High income,2001,71491.23101
Nepal,NPL,South Asia,Low income,2001,29843.757
Nauru,NRU,East Asia & Pacific,High income,2001,NA
New Zealand,NZL,East Asia & Pacific,High income,2001,76276.944
Oman,OMN,Middle East & North Africa,High income,2001,40680.0901
Pakistan,PAK,South Asia,Lower middle income,2001,250584.705
Panama,PAN,Latin America & Caribbean,Upper middle income,2001,11337.6568
Peru,PER,Latin America & Caribbean,Upper middle income,2001,49674.782
Philippines,PHL,East Asia & Pacific,Lower middle income,2001,142869.331
Palau,PLW,East Asia & Pacific,Upper middle income,2001,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2001,10359.9409
Poland,POL,Europe & Central Asia,High income,2001,385653.8873
Puerto Rico,PRI,Latin America & Caribbean,High income,2001,3010.80039
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,2001,101904.133
Portugal,PRT,Europe & Central Asia,High income,2001,85398.971
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2001,86905.953
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2001,NA
French Polynesia,PYF,East Asia & Pacific,High income,2001,NA
Qatar,QAT,Middle East & North Africa,High income,2001,45516.2738
Romania,ROU,Europe & Central Asia,Upper middle income,2001,137737.591
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2001,2649244.38
Rwanda,RWA,Sub-Saharan Africa,Low income,2001,3924.0208
Saudi Arabia,SAU,Middle East & North Africa,High income,2001,321603.515
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2001,423305.6
Senegal,SEN,Sub-Saharan Africa,Low income,2001,58818.338
Singapore,SGP,East Asia & Pacific,High income,2001,49851.518
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2001,4147.1425
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2001,32393.5922
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2001,11360.9979
San Marino,SMR,Europe & Central Asia,High income,2001,NA
